user_id,conversion_date,revenue,product
U1278,02-03-2025,481,Pro Plan
U1298,05-03-2025,625,Subscription
U1828,22-03-2025,438,Pro Plan
U1395,07-03-2025,628,Basic Plan
U1170,30-03-2025,905,Subscription
U1102,13-03-2025,248,Basic Plan
U1935,24-03-2025,884,Subscription
U1502,29-03-2025,483,Basic Plan
U1199,10-03-2025,81,Subscription
U1882,07-03-2025,442,Basic Plan
U1921,20-03-2025,281,Pro Plan
U1969,04-03-2025,241,Pro Plan
U1659,12-03-2025,787,Basic Plan
U1509,01-03-2025,933,Subscription
U1874,28-03-2025,753,Basic Plan
U1810,09-03-2025,205,Pro Plan
U1534,17-03-2025,166,Subscription
U1390,13-03-2025,872,Pro Plan
U1115,16-03-2025,695,Subscription
U1426,26-03-2025,165,Subscription
U1459,28-03-2025,302,Basic Plan
U1726,15-03-2025,365,Basic Plan
U1167,10-03-2025,421,Basic Plan
U1304,17-03-2025,632,Pro Plan
U1087,13-03-2025,557,Basic Plan
U1746,15-03-2025,853,Subscription
U1535,14-03-2025,166,Subscription
U1111,24-03-2025,400,Subscription
U1896,02-03-2025,357,Subscription
U1684,10-03-2025,271,Basic Plan
U1643,20-03-2025,846,Pro Plan
U1101,21-03-2025,206,Subscription
U1635,25-03-2025,227,Basic Plan
U1861,16-03-2025,732,Pro Plan
U1778,09-03-2025,381,Pro Plan
U1842,29-03-2025,356,Basic Plan
U1456,18-03-2025,639,Pro Plan
U1138,21-03-2025,946,Basic Plan
U1759,11-03-2025,421,Subscription
U1981,04-03-2025,352,Pro Plan
U1833,22-03-2025,81,Pro Plan
U1627,14-03-2025,615,Basic Plan
U1859,26-03-2025,812,Subscription
U1019,23-03-2025,732,Subscription
U1633,02-03-2025,243,Pro Plan
U1291,23-03-2025,974,Pro Plan
U1224,28-03-2025,884,Subscription
U1252,07-03-2025,725,Basic Plan
U1228,23-03-2025,470,Basic Plan
U1599,26-03-2025,277,Subscription
U1407,13-03-2025,577,Subscription
U1180,02-03-2025,867,Basic Plan
U1048,18-03-2025,427,Pro Plan
U1765,08-03-2025,476,Subscription
U1208,16-03-2025,866,Basic Plan
U1468,12-03-2025,827,Pro Plan
U1491,08-03-2025,990,Pro Plan
U1671,29-03-2025,785,Subscription
U1343,22-03-2025,539,Pro Plan
U1780,07-03-2025,517,Subscription
U1353,26-03-2025,330,Subscription
U1355,10-03-2025,235,Subscription
U1908,12-03-2025,690,Pro Plan
U1602,25-03-2025,257,Basic Plan
U1929,19-03-2025,245,Pro Plan
U1493,26-03-2025,418,Subscription
U1321,24-03-2025,232,Subscription
U1690,09-03-2025,606,Pro Plan
U1875,16-03-2025,616,Basic Plan
U1470,15-03-2025,86,Pro Plan
U1799,21-03-2025,901,Subscription
U1002,21-03-2025,746,Basic Plan
U1653,19-03-2025,270,Pro Plan
U1055,22-03-2025,567,Subscription
U1454,29-03-2025,91,Subscription
U1085,01-03-2025,541,Subscription
U1316,15-03-2025,96,Basic Plan
U1301,14-03-2025,107,Subscription
U1557,07-03-2025,258,Subscription
U1685,07-03-2025,301,Subscription
U1075,30-03-2025,852,Pro Plan
U1781,25-03-2025,462,Pro Plan
U1698,30-03-2025,101,Pro Plan
U1125,14-03-2025,980,Pro Plan
U1348,30-03-2025,139,Subscription
U1829,07-03-2025,400,Basic Plan
U1238,03-03-2025,291,Subscription
U1059,20-03-2025,703,Subscription
U1654,29-03-2025,341,Subscription
U1772,24-03-2025,473,Basic Plan
U1834,21-03-2025,414,Pro Plan
U1273,08-03-2025,320,Basic Plan
U1476,05-03-2025,165,Subscription
U1604,18-03-2025,859,Basic Plan
U1313,30-03-2025,192,Pro Plan
U1719,23-03-2025,998,Subscription
U1403,08-03-2025,762,Subscription
U1363,27-03-2025,211,Subscription
U1399,13-03-2025,533,Subscription
U1232,09-03-2025,246,Subscription
U1361,22-03-2025,848,Subscription
U1902,30-03-2025,198,Subscription
U1905,06-03-2025,465,Pro Plan
U1139,05-03-2025,751,Basic Plan
U1692,03-03-2025,135,Subscription
U1946,22-03-2025,975,Subscription
U1290,18-03-2025,464,Subscription
U1733,08-03-2025,210,Subscription
U1122,25-03-2025,469,Subscription
U1556,26-03-2025,984,Pro Plan
U1175,13-03-2025,699,Subscription
U1322,18-03-2025,337,Basic Plan
U1113,04-03-2025,461,Pro Plan
U1770,08-03-2025,513,Subscription
U1155,24-03-2025,892,Pro Plan
U1130,01-03-2025,751,Basic Plan
U1724,29-03-2025,509,Basic Plan
U1352,06-03-2025,525,Basic Plan
U1652,26-03-2025,898,Basic Plan
U1977,08-03-2025,167,Subscription
U1478,11-03-2025,799,Pro Plan
U1231,15-03-2025,152,Subscription
U1513,10-03-2025,469,Basic Plan
U1326,28-03-2025,163,Subscription
U1118,25-03-2025,379,Subscription
U1005,14-03-2025,222,Subscription
U1151,16-03-2025,947,Basic Plan
U1433,04-03-2025,550,Pro Plan
U1889,29-03-2025,272,Basic Plan
U1953,10-03-2025,716,Basic Plan
U1067,09-03-2025,960,Subscription
U1644,21-03-2025,877,Subscription
U1949,26-03-2025,986,Pro Plan
U1189,13-03-2025,429,Pro Plan
U1383,06-03-2025,612,Basic Plan
U1400,19-03-2025,692,Basic Plan
U1109,14-03-2025,994,Basic Plan
U1732,09-03-2025,780,Basic Plan
U1050,25-03-2025,194,Pro Plan
U1267,02-03-2025,63,Pro Plan
U1446,23-03-2025,236,Basic Plan
U1673,03-03-2025,915,Basic Plan
U1667,29-03-2025,467,Pro Plan
U1496,09-03-2025,399,Basic Plan
