user_id,touch_date,channel,campaign_id,session_id,utm_source
U1034,06-03-2025,Facebook,F002,S48000,Facebook
U1035,07-02-2025,LinkedIn,L001,S65168,LinkedIn
U1035,08-02-2025,TikTok,T001,S50806,TikTok
U1035,09-02-2025,LinkedIn,L001,S85629,LinkedIn
U1036,24-02-2025,TikTok,T001,S95382,TikTok
U1036,25-02-2025,Google Ads,G002,S86534,
U1036,26-02-2025,LinkedIn,L001,S86218,LinkedIn
U1037,13-03-2025,Facebook,F001,S82258,Facebook
U1037,14-03-2025,LinkedIn,L001,S89111,LinkedIn
U1037,15-03-2025,Facebook,F001,S41821,Facebook
U1037,16-03-2025,TikTok,T001,S94458,TikTok
U1038,09-03-2025,TikTok,T001,S96925,TikTok
U1038,10-03-2025,LinkedIn,L001,S57057,LinkedIn
U1038,11-03-2025,LinkedIn,L001,S26032,LinkedIn
U1038,12-03-2025,LinkedIn,L001,S30079,LinkedIn
U1038,13-03-2025,Google Ads,G001,S41419,Google Ads
U1039,02-01-2025,Google Ads,G001,S95514,Google Ads
U1039,03-01-2025,Facebook,F001,S86918,Facebook
U1039,04-01-2025,TikTok,T001,S43572,TikTok
U1040,09-01-2025,Facebook,F001,S27771,Facebook
U1040,10-01-2025,TikTok,T001,S58285,TikTok
U1040,11-01-2025,TikTok,T001,S96143,TikTok
U1041,14-01-2025,Google Ads,G002,S70774,Google Ads
U1041,15-01-2025,Google Ads,G002,S61693,Google Ads
U1041,16-01-2025,TikTok,T001,S86908,TikTok
U1041,17-01-2025,Facebook,F001,S66133,Facebook
U1041,18-01-2025,Facebook,F002,S48243,Facebook
U1042,07-02-2025,Facebook,F001,S88411,Facebook
U1042,08-02-2025,LinkedIn,L001,S26725,LinkedIn
U1043,27-01-2025,Google Ads,G001,S14263,Google Ads
U1043,28-01-2025,Facebook,F002,S57924,Facebook
U1044,10-01-2025,Google Ads,G001,S99563,Google Ads
U1044,11-01-2025,Facebook,F002,S96145,Facebook
U1044,12-01-2025,TikTok,T001,S71120,TikTok
U1044,13-01-2025,LinkedIn,L001,S97410,LinkedIn
U1045,29-01-2025,Google Ads,G001,S99599,Google Ads
U1045,30-01-2025,TikTok,T001,S21046,TikTok
U1045,31-01-2025,TikTok,T001,S38769,TikTok
U1046,24-01-2025,Facebook,F002,S31792,Facebook
U1046,25-01-2025,Facebook,F002,S77298,Facebook
U1046,26-01-2025,TikTok,T001,S34058,
U1046,27-01-2025,Google Ads,G001,S42921,Google Ads
U1047,14-03-2025,Google Ads,G002,S44008,Google Ads
U1047,15-03-2025,Google Ads,G001,S23350,Google Ads
U1047,16-03-2025,LinkedIn,L001,S44020,LinkedIn
U1048,13-02-2025,LinkedIn,L001,S98929,LinkedIn
U1048,14-02-2025,TikTok,T001,S79626,TikTok
U1048,15-02-2025,Google Ads,G001,S46408,Google Ads
U1048,16-02-2025,LinkedIn,L001,S30491,LinkedIn
U1048,17-02-2025,Facebook,F002,S81431,Facebook
U1049,21-01-2025,Google Ads,G001,S68053,Google Ads
U1049,22-01-2025,TikTok,T001,S72552,TikTok
U1049,23-01-2025,TikTok,T001,S37935,TikTok
U1049,24-01-2025,Facebook,F002,S22182,Facebook
U1050,07-01-2025,Facebook,F001,S79768,Facebook
U1050,08-01-2025,LinkedIn,L001,S93441,LinkedIn
U1050,09-01-2025,LinkedIn,L001,S16737,LinkedIn
U1051,08-02-2025,LinkedIn,L001,S76150,LinkedIn
U1051,09-02-2025,Google Ads,G002,S45435,Google Ads
U1051,10-02-2025,TikTok,T001,S92050,TikTok
U1051,11-02-2025,Google Ads,G001,S30662,Google Ads
U1052,08-02-2025,LinkedIn,L001,S54547,LinkedIn
U1052,09-02-2025,Google Ads,G002,S37345,Google Ads
U1052,10-02-2025,Google Ads,G002,S84859,Google Ads
U1052,11-02-2025,Facebook,F002,S62393,
U1053,30-01-2025,LinkedIn,L001,S37788,LinkedIn
U1053,31-01-2025,Facebook,F002,S49974,Facebook
U1053,01-02-2025,Facebook,F002,S61184,
U1054,03-03-2025,Google Ads,G002,S95431,Google Ads
U1054,04-03-2025,TikTok,T001,S60072,TikTok
U1055,05-01-2025,Google Ads,G002,S43933,
U1055,06-01-2025,TikTok,T001,S65619,TikTok
U1055,07-01-2025,Facebook,F002,S67775,Facebook
U1055,08-01-2025,Google Ads,G001,S45400,Google Ads
U1056,18-02-2025,Google Ads,G002,S53001,Google Ads
U1056,19-02-2025,Google Ads,G001,S47573,Google Ads
U1056,20-02-2025,LinkedIn,L001,S39757,LinkedIn
U1056,21-02-2025,Google Ads,G002,S90435,Google Ads
U1057,28-02-2025,TikTok,T001,S91470,TikTok
U1057,01-03-2025,Facebook,F001,S44157,Facebook
U1057,02-03-2025,Facebook,F001,S92856,Facebook
U1057,03-03-2025,Google Ads,G002,S91412,Google Ads
U1057,04-03-2025,Google Ads,G002,S56600,Google Ads
U1058,20-01-2025,Facebook,F001,S17657,Facebook
U1058,21-01-2025,LinkedIn,L001,S36685,LinkedIn
U1058,22-01-2025,Google Ads,G002,S17906,Google Ads
U1058,23-01-2025,Facebook,F001,S85758,Facebook
U1059,14-03-2025,TikTok,T001,S27674,TikTok
U1059,15-03-2025,Google Ads,G002,S75160,Google Ads
U1060,25-01-2025,Facebook,F002,S56542,
U1060,26-01-2025,TikTok,T001,S68762,TikTok
U1060,27-01-2025,LinkedIn,L001,S43742,LinkedIn
U1060,28-01-2025,Facebook,F002,S80831,Facebook
U1061,18-01-2025,Facebook,F001,S13020,Facebook
U1061,19-01-2025,TikTok,T001,S55648,
U1061,20-01-2025,Facebook,F002,S12396,Facebook
U1062,27-02-2025,LinkedIn,L001,S40561,LinkedIn
U1062,28-02-2025,TikTok,T001,S96231,TikTok
U1062,01-03-2025,LinkedIn,L001,S77675,LinkedIn
U1062,02-03-2025,Google Ads,G001,S93624,Google Ads
U1063,14-02-2025,Google Ads,G001,S96206,Google Ads
U1063,15-02-2025,LinkedIn,L001,S32534,LinkedIn
U1064,14-02-2025,Facebook,F001,S57638,
U1064,15-02-2025,Facebook,F002,S87236,Facebook
U1065,08-02-2025,LinkedIn,L001,S58845,
U1065,09-02-2025,Google Ads,G001,S85713,Google Ads
U1065,10-02-2025,TikTok,T001,S85418,TikTok
U1066,17-01-2025,TikTok,T001,S22987,TikTok
U1066,18-01-2025,TikTok,T001,S11007,TikTok
U1067,30-01-2025,LinkedIn,L001,S52207,LinkedIn
U1067,31-01-2025,Facebook,F001,S36660,Facebook
U1067,01-02-2025,Google Ads,G002,S93807,Google Ads
U1068,09-03-2025,LinkedIn,L001,S90395,LinkedIn
U1068,10-03-2025,Facebook,F001,S30953,Facebook
U1068,11-03-2025,TikTok,T001,S77889,
U1068,12-03-2025,Facebook,F002,S31195,Facebook
U1068,13-03-2025,TikTok,T001,S31427,TikTok
U1069,17-03-2025,LinkedIn,L001,S54064,
U1069,18-03-2025,Facebook,F001,S37082,Facebook
U1070,26-01-2025,Facebook,F002,S24288,Facebook
U1070,27-01-2025,LinkedIn,L001,S91958,LinkedIn
U1070,28-01-2025,LinkedIn,L001,S85932,LinkedIn
U1071,01-02-2025,Facebook,F001,S13093,Facebook
U1071,02-02-2025,LinkedIn,L001,S54413,LinkedIn
U1071,03-02-2025,TikTok,T001,S43756,
U1071,04-02-2025,Google Ads,G001,S38602,Google Ads
U1072,06-01-2025,LinkedIn,L001,S15626,LinkedIn
U1072,07-01-2025,Google Ads,G002,S29982,Google Ads
U1072,08-01-2025,Facebook,F001,S94976,Facebook
U1072,09-01-2025,Google Ads,G002,S48158,Google Ads
U1072,10-01-2025,TikTok,T001,S31563,TikTok
U1073,17-01-2025,Google Ads,G001,S92970,Google Ads
U1073,18-01-2025,Facebook,F002,S71788,Facebook
U1073,19-01-2025,TikTok,T001,S15655,TikTok
U1074,03-01-2025,TikTok,T001,S78760,TikTok
U1074,04-01-2025,Facebook,F002,S38541,Facebook
U1074,05-01-2025,TikTok,T001,S18712,TikTok
U1074,06-01-2025,Facebook,F002,S15109,Facebook
U1074,07-01-2025,Google Ads,G001,S92503,Google Ads
U1075,05-03-2025,Google Ads,G001,S36589,
U1075,06-03-2025,TikTok,T001,S72046,TikTok
U1075,07-03-2025,Facebook,F002,S51688,Facebook
U1075,08-03-2025,Google Ads,G002,S40087,Google Ads
U1076,20-02-2025,TikTok,T001,S49499,TikTok
U1076,21-02-2025,Google Ads,G002,S84319,Google Ads
U1076,22-02-2025,Facebook,F002,S45488,Facebook
U1076,23-02-2025,Facebook,F002,S73483,
U1077,02-01-2025,Google Ads,G001,S93869,Google Ads
U1077,03-01-2025,Google Ads,G001,S60069,
U1078,07-03-2025,Facebook,F001,S85897,Facebook
U1078,08-03-2025,Facebook,F001,S19078,Facebook
U1078,09-03-2025,TikTok,T001,S81626,TikTok
U1078,10-03-2025,Google Ads,G001,S93976,Google Ads
U1079,14-03-2025,LinkedIn,L001,S43320,LinkedIn
U1079,15-03-2025,Facebook,F002,S36289,Facebook
U1079,16-03-2025,TikTok,T001,S23629,TikTok
U1080,07-01-2025,LinkedIn,L001,S76435,LinkedIn
U1080,08-01-2025,Facebook,F002,S43662,Facebook
U1080,09-01-2025,LinkedIn,L001,S46877,
U1080,10-01-2025,LinkedIn,L001,S82715,LinkedIn
U1081,12-01-2025,Google Ads,G001,S36745,Google Ads
U1081,13-01-2025,LinkedIn,L001,S62579,LinkedIn
U1081,14-01-2025,Google Ads,G002,S12356,Google Ads
U1081,15-01-2025,LinkedIn,L001,S99899,
U1082,11-03-2025,Facebook,F001,S12920,Facebook
U1082,12-03-2025,LinkedIn,L001,S89561,LinkedIn
U1082,13-03-2025,LinkedIn,L001,S26309,LinkedIn
U1083,20-03-2025,Google Ads,G001,S82541,Google Ads
U1083,21-03-2025,Google Ads,G001,S84131,Google Ads
U1083,22-03-2025,Google Ads,G002,S49443,Google Ads
U1083,23-03-2025,TikTok,T001,S90818,
U1084,05-02-2025,Facebook,F001,S87539,Facebook
U1084,06-02-2025,Facebook,F001,S55350,Facebook
U1084,07-02-2025,Facebook,F001,S52229,Facebook
U1084,08-02-2025,Google Ads,G002,S94878,Google Ads
U1084,09-02-2025,Google Ads,G001,S36723,Google Ads
U1085,11-02-2025,TikTok,T001,S59153,TikTok
U1085,12-02-2025,LinkedIn,L001,S54965,LinkedIn
U1085,13-02-2025,Google Ads,G001,S80135,Google Ads
U1085,14-02-2025,LinkedIn,L001,S79350,LinkedIn
U1085,15-02-2025,Facebook,F001,S77649,Facebook
U1086,05-01-2025,LinkedIn,L001,S96475,LinkedIn
U1086,06-01-2025,TikTok,T001,S62233,TikTok
U1086,07-01-2025,LinkedIn,L001,S86367,LinkedIn
U1086,08-01-2025,Facebook,F001,S29816,Facebook
U1087,05-01-2025,TikTok,T001,S33499,TikTok
U1087,06-01-2025,Google Ads,G001,S81635,Google Ads
U1088,06-02-2025,LinkedIn,L001,S19847,LinkedIn
U1088,07-02-2025,TikTok,T001,S93310,TikTok
U1088,08-02-2025,LinkedIn,L001,S93194,LinkedIn
U1088,09-02-2025,Google Ads,G002,S91537,Google Ads
U1088,10-02-2025,Google Ads,G001,S10281,Google Ads
U1089,01-01-2025,LinkedIn,L001,S86260,LinkedIn
U1089,02-01-2025,Google Ads,G001,S19200,Google Ads
U1090,19-03-2025,TikTok,T001,S45057,TikTok
U1090,20-03-2025,TikTok,T001,S75661,TikTok
U1090,21-03-2025,Facebook,F001,S25398,Facebook
U1090,22-03-2025,LinkedIn,L001,S16570,LinkedIn
U1091,23-01-2025,TikTok,T001,S49062,TikTok
U1091,24-01-2025,TikTok,T001,S88131,TikTok
U1091,25-01-2025,TikTok,T001,S92811,TikTok
U1092,08-01-2025,Facebook,F001,S33196,Facebook
U1092,09-01-2025,TikTok,T001,S58320,TikTok
U1092,10-01-2025,LinkedIn,L001,S98009,LinkedIn
U1092,11-01-2025,Facebook,F002,S34089,Facebook
U1093,16-02-2025,TikTok,T001,S60138,TikTok
U1093,17-02-2025,TikTok,T001,S40659,TikTok
U1093,18-02-2025,Google Ads,G001,S57055,Google Ads
U1093,19-02-2025,Facebook,F001,S36984,Facebook
U1093,20-02-2025,Facebook,F002,S27087,Facebook
U1094,04-03-2025,Google Ads,G001,S82460,Google Ads
U1094,05-03-2025,Google Ads,G001,S76024,Google Ads
U1094,06-03-2025,LinkedIn,L001,S39165,LinkedIn
U1095,19-01-2025,Facebook,F002,S35426,Facebook
U1095,20-01-2025,Google Ads,G001,S61924,Google Ads
U1095,21-01-2025,LinkedIn,L001,S19108,LinkedIn
U1095,22-01-2025,LinkedIn,L001,S93360,LinkedIn
U1095,23-01-2025,Google Ads,G002,S32443,Google Ads
U1096,11-01-2025,LinkedIn,L001,S70233,LinkedIn
U1096,12-01-2025,Facebook,F002,S32612,Facebook
U1096,13-01-2025,Facebook,F002,S41348,Facebook
U1097,26-01-2025,Google Ads,G002,S63551,Google Ads
U1097,27-01-2025,Google Ads,G001,S83770,Google Ads
U1098,11-03-2025,Facebook,F002,S68348,Facebook
U1098,12-03-2025,Google Ads,G001,S79967,Google Ads
U1098,13-03-2025,LinkedIn,L001,S49310,
U1098,14-03-2025,Google Ads,G002,S55379,Google Ads
U1098,15-03-2025,Google Ads,G001,S56881,Google Ads
U1099,09-03-2025,TikTok,T001,S46378,TikTok
U1099,10-03-2025,Google Ads,G001,S64691,Google Ads
U1099,11-03-2025,Facebook,F002,S53596,Facebook
U1100,16-03-2025,LinkedIn,L001,S58713,LinkedIn
U1100,17-03-2025,LinkedIn,L001,S13654,LinkedIn
U1100,18-03-2025,LinkedIn,L001,S84172,LinkedIn
U1100,19-03-2025,Facebook,F002,S22149,Facebook
U1100,20-03-2025,LinkedIn,L001,S31675,LinkedIn
U1101,14-02-2025,Facebook,F001,S90758,Facebook
U1101,15-02-2025,Facebook,F002,S19435,Facebook
U1101,16-02-2025,Google Ads,G002,S91929,Google Ads
U1101,17-02-2025,TikTok,T001,S85388,TikTok
U1101,18-02-2025,Facebook,F002,S44084,Facebook
U1102,19-02-2025,TikTok,T001,S17227,TikTok
U1102,20-02-2025,LinkedIn,L001,S75681,LinkedIn
U1102,21-02-2025,LinkedIn,L001,S78576,LinkedIn
U1102,22-02-2025,LinkedIn,L001,S74174,LinkedIn
U1102,23-02-2025,Google Ads,G001,S27014,Google Ads
U1103,22-01-2025,TikTok,T001,S43755,TikTok
U1103,23-01-2025,LinkedIn,L001,S67993,LinkedIn
U1104,19-03-2025,Google Ads,G001,S96936,
U1104,20-03-2025,Facebook,F002,S75108,Facebook
U1105,08-03-2025,Facebook,F002,S65754,Facebook
U1105,09-03-2025,LinkedIn,L001,S61501,LinkedIn
U1105,10-03-2025,LinkedIn,L001,S43893,LinkedIn
U1106,01-02-2025,LinkedIn,L001,S22323,LinkedIn
U1106,02-02-2025,TikTok,T001,S83379,TikTok
U1106,03-02-2025,LinkedIn,L001,S64624,LinkedIn
U1107,11-03-2025,Google Ads,G001,S82240,
U1107,12-03-2025,TikTok,T001,S20756,
U1107,13-03-2025,TikTok,T001,S24484,TikTok
U1107,14-03-2025,TikTok,T001,S83794,TikTok
U1108,13-02-2025,Google Ads,G002,S15249,Google Ads
U1108,14-02-2025,LinkedIn,L001,S68576,LinkedIn
U1108,15-02-2025,LinkedIn,L001,S63363,LinkedIn
U1109,22-01-2025,TikTok,T001,S52828,TikTok
U1109,23-01-2025,Google Ads,G001,S38982,Google Ads
U1109,24-01-2025,TikTok,T001,S98733,TikTok
U1109,25-01-2025,Google Ads,G001,S39328,Google Ads
U1109,26-01-2025,TikTok,T001,S49891,TikTok
U1110,16-01-2025,Facebook,F001,S65922,Facebook
U1110,17-01-2025,TikTok,T001,S72711,
U1110,18-01-2025,TikTok,T001,S92205,TikTok
U1110,19-01-2025,Google Ads,G002,S66273,Google Ads
U1111,01-02-2025,Google Ads,G001,S75061,Google Ads
U1111,02-02-2025,TikTok,T001,S26163,TikTok
U1111,03-02-2025,Google Ads,G001,S94328,Google Ads
U1111,04-02-2025,Google Ads,G002,S94416,Google Ads
U1111,05-02-2025,LinkedIn,L001,S52685,LinkedIn
U1112,26-01-2025,TikTok,T001,S93362,TikTok
U1112,27-01-2025,Facebook,F001,S80971,Facebook
U1112,28-01-2025,Google Ads,G002,S22329,Google Ads
U1112,29-01-2025,Facebook,F002,S86957,Facebook
U1113,30-01-2025,Facebook,F002,S41750,Facebook
U1113,31-01-2025,TikTok,T001,S88222,TikTok
U1113,01-02-2025,Google Ads,G001,S30609,Google Ads
U1113,02-02-2025,LinkedIn,L001,S65249,LinkedIn
U1113,03-02-2025,TikTok,T001,S84520,TikTok
U1114,23-02-2025,Google Ads,G002,S41552,Google Ads
U1114,24-02-2025,Facebook,F002,S24716,Facebook
U1115,03-01-2025,LinkedIn,L001,S60200,LinkedIn
U1115,04-01-2025,Google Ads,G001,S27347,Google Ads
U1115,05-01-2025,Google Ads,G001,S99099,Google Ads
U1115,06-01-2025,TikTok,T001,S87452,TikTok
U1115,07-01-2025,LinkedIn,L001,S62188,LinkedIn
U1116,04-03-2025,Facebook,F002,S96269,Facebook
U1116,05-03-2025,Facebook,F002,S81966,Facebook
U1116,06-03-2025,LinkedIn,L001,S52913,LinkedIn
U1116,07-03-2025,Facebook,F001,S59841,
U1116,08-03-2025,Google Ads,G001,S35032,Google Ads
U1117,09-01-2025,LinkedIn,L001,S60331,
U1117,10-01-2025,Facebook,F002,S33291,Facebook
U1117,11-01-2025,Google Ads,G002,S64823,Google Ads
U1117,12-01-2025,Google Ads,G001,S51779,Google Ads
U1118,21-02-2025,TikTok,T001,S67009,TikTok
U1118,22-02-2025,LinkedIn,L001,S67022,LinkedIn
U1119,07-01-2025,LinkedIn,L001,S41174,LinkedIn
U1119,08-01-2025,Google Ads,G001,S71949,Google Ads
U1119,09-01-2025,LinkedIn,L001,S99818,LinkedIn
U1120,20-03-2025,Google Ads,G002,S15542,Google Ads
U1120,21-03-2025,Google Ads,G001,S69353,Google Ads
U1121,22-02-2025,Facebook,F001,S10163,Facebook
U1121,23-02-2025,Google Ads,G001,S20634,Google Ads
U1121,24-02-2025,LinkedIn,L001,S39300,LinkedIn
U1122,09-03-2025,Facebook,F002,S43361,Facebook
U1122,10-03-2025,TikTok,T001,S38380,TikTok
U1122,11-03-2025,TikTok,T001,S65316,TikTok
U1123,13-01-2025,Google Ads,G001,S13191,Google Ads
U1123,14-01-2025,Google Ads,G001,S59723,Google Ads
U1123,15-01-2025,TikTok,T001,S99097,TikTok
U1124,27-02-2025,TikTok,T001,S38602,TikTok
U1124,28-02-2025,Facebook,F002,S83616,Facebook
U1124,01-03-2025,TikTok,T001,S66492,TikTok
U1125,10-03-2025,TikTok,T001,S32614,TikTok
U1125,11-03-2025,Google Ads,G002,S70920,
U1125,12-03-2025,LinkedIn,L001,S17788,LinkedIn
U1125,13-03-2025,LinkedIn,L001,S86816,
U1126,20-01-2025,Google Ads,G002,S58355,Google Ads
U1126,21-01-2025,LinkedIn,L001,S74027,LinkedIn
U1127,27-02-2025,Google Ads,G001,S86295,Google Ads
U1127,28-02-2025,TikTok,T001,S38270,TikTok
U1127,01-03-2025,TikTok,T001,S33888,TikTok
U1127,02-03-2025,LinkedIn,L001,S45144,LinkedIn
U1128,20-03-2025,Facebook,F001,S16979,Facebook
U1128,21-03-2025,Facebook,F001,S71558,Facebook
U1128,22-03-2025,Facebook,F001,S44964,Facebook
U1129,12-01-2025,LinkedIn,L001,S69765,LinkedIn
U1129,13-01-2025,Google Ads,G001,S79519,Google Ads
U1129,14-01-2025,TikTok,T001,S67866,TikTok
U1129,15-01-2025,Facebook,F001,S99489,Facebook
U1129,16-01-2025,LinkedIn,L001,S80119,LinkedIn
U1130,19-03-2025,TikTok,T001,S87425,TikTok
U1130,20-03-2025,Facebook,F002,S56804,Facebook
U1130,21-03-2025,TikTok,T001,S94080,TikTok
U1130,22-03-2025,TikTok,T001,S40841,TikTok
U1131,08-02-2025,Google Ads,G002,S66849,Google Ads
U1131,09-02-2025,Google Ads,G001,S25997,Google Ads
U1131,10-02-2025,TikTok,T001,S65533,TikTok
U1131,11-02-2025,LinkedIn,L001,S67941,LinkedIn
U1131,12-02-2025,Facebook,F001,S33387,Facebook
U1132,13-01-2025,Facebook,F002,S65731,Facebook
U1132,14-01-2025,LinkedIn,L001,S56486,LinkedIn
U1133,13-02-2025,Google Ads,G002,S77260,Google Ads
U1133,14-02-2025,Google Ads,G002,S28037,Google Ads
U1133,15-02-2025,LinkedIn,L001,S39725,LinkedIn
